Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99,Yes,9,1,86.09
4,82,No,4,2,58.53
8,51,Yes,7,2,36.85
5,52,Yes,5,2,27.37
7,75,No,8,5,62.06
3,78,No,9,6,56.18
7,73,Yes,5,6,58.41
8,45,Yes,4,6,35.42
5,77,No,8,2,55.13
4,89,No,4,0,62.18
8,91,No,4,5,81.53
8,79,No,6,2,68.11
3,47,No,9,2,17.31
6,47,No,4,2,23.92
5,79,No,7,8,65.01
2,72,No,4,3,35.35
8,73,Yes,8,4,62.25
6,83,Yes,7,2,64.53
2,54,Yes,4,9,24.49
5,75,No,7,0,55.41
1,99,Yes,4,3,66.09
6,96,No,9,0,79.53
9,74,Yes,7,6,69.87
1,85,No,5,6,52.57
3,61,No,6,3,27.33
7,62,Yes,7,4,42.12
4,79,No,8,9,63.7
9,84,Yes,6,6,80.19
3,94,Yes,6,5,70.09
5,90,Yes,4,3,69.36
3,61,Yes,7,3,31.55
7,44,Yes,9,1,27.03
5,70,Yes,6,9,55.04
9,52,Yes,8,1,39.27
7,67,Yes,9,3,54.12
2,97,Yes,9,4,69.96
4,59,No,8,3,34.09
9,72,No,8,2,62.28
2,55,Yes,4,1,22.61
9,68,No,5,3,58.27
5,62,No,7,4,38.41
2,63,Yes,6,0,29.59
4,73,Yes,7,0,49.74
7,46,No,9,5,28.63
8,77,Yes,6,4,66.28
3,76,Yes,4,3,47.53
1,43,Yes,7,0,5.55
4,73,No,4,6,49.39
2,81,Yes,4,3,51.61
8,61,No,7,2,46.15
4,44,Yes,7,6,19.56
2,89,Yes,6,1,58.78
6,81,No,9,9,73.67
6,62,Yes,9,0,43.4
4,93,No,8,3,73.7
6,99,No,4,7,89.58
2,54,Yes,9,5,25.62
2,70,Yes,5,8,42.34
4,98,No,6,0,71.97
8,48,No,6,0,28.66
7,82,Yes,8,4,65.61
9,97,Yes,8,5,95.81
8,92,Yes,4,7,85.6
5,64,Yes,6,2,41.19
2,64,Yes,6,5,33.98
5,88,No,5,2,64.95
8,60,No,4,7,49.78
9,48,No,4,3,34.31
9,94,No,9,1,87.03
1,87,Yes,8,8,57.66
9,77,No,9,9,72.64
7,61,Yes,4,7,49.27
9,82,Yes,5,5,78.16
8,62,Yes,4,2,45.08
1,88,Yes,9,1,57.89
8,43,Yes,7,3,27.49
8,68,No,7,3,55.09
3,54,Yes,5,0,25.05
1,40,Yes,8,8,7.53
8,93,Yes,6,9,87.58
3,69,No,4,7,39.46
3,68,Yes,9,6,43.65
1,59,Yes,8,5,25.58
5,72,Yes,9,2,53.12
7,80,No,8,3,65.66
9,83,Yes,4,1,76.05
7,75,No,6,6,63.34
9,99,No,4,1,90.94
8,61,Yes,6,9,54.4
2,52,No,9,0,19.09
1,46,No,5,5,12.06
7,47,Yes,6,3,29.56
7,67,Yes,8,7,55.77
8,84,Yes,5,0,69.4
5,82,Yes,9,8,66.0
3,48,No,7,5,22.81
8,64,No,5,1,50.27
6,95,Yes,6,7,79.36
3,55,Yes,5,4,28.77
1,49,Yes,9,4,15.97
3,50,No,5,4,18.65
5,70,Yes,9,6,56.74
3,51,No,7,6,26.76
1,99,No,6,9,74.13
5,70,No,8,6,52.11
7,53,No,5,9,40.58
7,90,Yes,4,1,70.13
9,83,Yes,8,7,81.51
3,71,Yes,5,0,41.6
7,89,No,8,1,75.85
1,92,No,4,6,61.98
4,56,Yes,8,3,30.5
4,74,No,8,9,53.18
5,40,No,4,9,18.92
7,68,No,4,8,52.24
7,90,Yes,4,8,80.62
4,43,Yes,7,2,13.65
7,62,Yes,9,2,49.41
3,67,No,9,8,41.08
6,55,Yes,4,9,38.86
2,51,Yes,9,7,23.39
9,92,Yes,8,0,87.36
5,60,No,4,5,38.44
6,84,No,5,6,66.99
4,56,No,4,7,29.86
7,79,No,4,1,65.34
9,52,No,9,0,40.39
7,91,Yes,6,3,78.07
1,97,Yes,8,0,63.75
1,71,No,9,1,34.6
9,76,No,8,2,72.09
9,89,Yes,5,3,82.14
4,54,No,7,5,27.3
9,51,No,6,7,44.55
3,88,No,5,8,66.61
7,96,No,5,3,80.22
6,54,No,8,0,31.53
8,73,Yes,6,4,63.46
9,45,Yes,8,4,37.28
5,56,No,7,8,35.57
1,87,No,8,5,53.26
3,88,Yes,4,4,62.93
8,96,No,8,9,93.91
6,59,Yes,4,9,43.24
8,48,No,5,4,33.1
9,98,Yes,7,7,99.39
4,44,Yes,9,0,12.19
1,62,No,4,4,28.47
1,72,No,7,0,38.29
4,77,Yes,8,6,55.24
7,95,No,9,6,81.08
2,53,Yes,8,9,28.03
3,56,No,5,7,29.92
1,96,No,8,6,71.13
5,58,No,4,8,36.63
1,72,Yes,5,7,41.59
8,40,Yes,7,7,25.05
1,52,No,5,2,16.48
1,85,Yes,7,9,54.73
2,66,No,6,3,34.66
2,45,Yes,4,3,8.76
6,98,No,4,0,80.06
7,45,Yes,7,5,29.25
5,72,Yes,8,1,50.35
1,69,Yes,9,8,40.59
1,85,Yes,8,0,52.08
3,74,Yes,6,0,48.12
2,62,Yes,7,9,36.82
5,49,No,6,5,25.28
6,90,No,7,0,70.73
7,58,Yes,6,2,43.52
4,90,No,7,9,70.07
7,67,Yes,4,1,49.49
8,62,No,6,8,49.0
1,43,No,6,4,6.69
6,59,No,7,5,39.05
8,58,No,5,1,41.2
5,81,Yes,5,7,64.03
4,66,No,4,5,42.72
2,96,No,8,7,70.3
6,73,No,8,7,61.38
6,43,Yes,4,0,16.51
1,95,No,8,6,68.62
9,77,Yes,9,1,68.46
6,46,Yes,9,7,32.26
3,87,No,9,1,60.25
4,46,Yes,9,3,19.48
4,89,No,7,1,66.78
3,91,No,5,6,68.12
3,65,No,4,4,35.25
3,65,No,7,8,42.13
4,93,No,9,4,72.82
7,58,No,4,7,43.69
4,48,No,5,1,19.84
9,59,Yes,8,2,46.62
1,81,Yes,7,5,50.74
8,84,No,5,6,71.81
7,89,No,4,9,76.79
2,55,Yes,6,7,25.83
8,93,No,7,2,85.21
1,56,Yes,4,6,21.76
9,61,Yes,4,7,52.69
9,52,No,5,9,43.98
2,51,No,4,5,19.44
7,49,Yes,7,3,30.17
3,40,Yes,9,5,9.65
7,71,No,7,8,63.0
9,69,No,4,2,59.0
4,47,Yes,5,1,17.01
1,60,Yes,7,4,25.39
2,61,Yes,6,6,30.75
1,57,No,9,2,19.67
5,41,No,8,4,17.57
5,87,No,5,3,66.82
7,83,Yes,5,6,74.3
9,48,Yes,8,1,37.04
9,42,No,8,6,34.92
3,93,Yes,7,1,66.66
3,65,Yes,4,2,34.51
3,60,Yes,4,4,31.45
4,69,Yes,6,6,48.91
8,67,Yes,9,5,56.83
6,75,No,4,6,58.79
8,65,No,6,5,54.23
1,73,No,6,0,37.1
8,47,No,5,4,34.55
4,49,No,5,0,19.56
1,87,Yes,9,6,58.84
8,94,Yes,7,3,85.34
4,82,Yes,8,4,56.35
6,89,No,8,0,71.13
8,93,Yes,9,7,86.0
4,53,Yes,6,3,26.71
3,79,Yes,9,2,53.56
9,94,No,8,0,87.35
3,54,Yes,6,3,29.55
9,56,Yes,8,2,49.32
2,92,No,7,7,66.9
